delegator,validator,bonded token
odin1vc0fj5e86nymn8shejs3a2q89mv2yxxa5nr006,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,3000000
odin1vc0fj5e86nymn8shejs3a2q89mv2yxxa5nr006,odinvaloper1usa0ldz9lhfd7zf5h93qtzn0st9uqtd949x9ww,300000
odin1ezz9vww05ylh6zmkmwnrfwslf3tkwmwda3p2jy,odinvaloper1pcwlans8a2xtfddx04n6vhal5wx8jsvmxean8n,7992802
odin1ezz9vww05ylh6zmkmwnrfwslf3tkwmwda3p2jy,odinvaloper1wuwhanclwh9ckpe6z6480t3pjjpk7dsj2trk9p,3000000
odin148yradenncq6phhcj0rsy2ze7fmvk877npap49,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,2450305030
odin148yradenncq6phhcj0rsy2ze7fmvk877npap49,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,1163541007
odin1pjl3v60ecq5emlw3h5e6jx70yygcvnr337s7jw,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,10407084902
odin1pjl3v60ecq5emlw3h5e6jx70yygcvnr337s7jw,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,9862743603
odin1puy0ajtq3tvkx5d9z8xj9stkl4j0tz8gdvmsqj,odinvaloper1jj2xx0en2wcs8vj3n4s6lkf8gjqqwtkh8996st,1500000000
odin1puy0ajtq3tvkx5d9z8xj9stkl4j0tz8gdvmsqj,odinvaloper1weryas9wx2saawjuefxtkxt0ayv9956ytmls6h,1250000000
odin1puy0ajtq3tvkx5d9z8xj9stkl4j0tz8gdvmsqj,odinvaloper12hpn6mxulk8gt9zu0hs5lv20y666gmuszjfy3h,30000000
odin1puy0ajtq3tvkx5d9z8xj9stkl4j0tz8gdvmsqj,odinvaloper1z2mdr2unlrnqnwzu03ujym078pp8g4wy9k6hqd,23
odin1n7ppvyeyl7wj75khxls9ddh9gwvzpahamgu338,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,14500000000
odin1n7ppvyeyl7wj75khxls9ddh9gwvzpahamgu338,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,13000000000
odin1n7ppvyeyl7wj75khxls9ddh9gwvzpahamgu338,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,5000000000
odin103fn4l3pta4uynm3s3anpzlw7qxkar66060any,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,6999300000
odin103fn4l3pta4uynm3s3anpzlw7qxkar66060any,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,3400000000
odin1pv03yz7y7atd72xtzzpyfqy8w3eu5rwvcfp9v9,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,184500000
odin1pv03yz7y7atd72xtzzpyfqy8w3eu5rwvcfp9v9,odinvaloper1sxvwx7h6wp4hcn3rh2xtl8mv6w0w9mvudd6e3j,64400000
odin1pv03yz7y7atd72xtzzpyfqy8w3eu5rwvcfp9v9,odinvaloper1usa0ldz9lhfd7zf5h93qtzn0st9uqtd949x9ww,38000000
odin1anxpr44m7qtyjwzzmsjw5llu06sjtp3cezjyl7,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,17000000
odin1anxpr44m7qtyjwzzmsjw5llu06sjtp3cezjyl7,odinvaloper1wuwhanclwh9ckpe6z6480t3pjjpk7dsj2trk9p,10000000
odin1mkqz0kqrvv97k34fufle9rx7fvukze4plgl7w2,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,15000000000
odin1mkqz0kqrvv97k34fufle9rx7fvukze4plgl7w2,odinvaloper18xzaak0mxtzy9dsral8yucpfdak7mhc3ywjapu,14997500000
odin1g0ezv8rz38psvuguy2w5rgngpkk3cyxudzshjd,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,514174483
odin1g0ezv8rz38psvuguy2w5rgngpkk3cyxudzshjd,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,278719987
odin1g47ylnna3a47w0rrvta28tl60wnnsdtpsmvja6,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,190000000
odin1g47ylnna3a47w0rrvta28tl60wnnsdtpsmvja6,odinvaloper1usa0ldz9lhfd7zf5h93qtzn0st9uqtd949x9ww,110000000
odin1g47ylnna3a47w0rrvta28tl60wnnsdtpsmvja6,odinvaloper1s009mue6fg6usnd8dfyvtvcckndtxsxjd5shs7,100000000
odin1ulypa58q32caz0da9vx6y2rv408jnaxq6lrasy,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,377813313970
odin1ulypa58q32caz0da9vx6y2rv408jnaxq6lrasy,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,300600955534
odin1ulypa58q32caz0da9vx6y2rv408jnaxq6lrasy,odinvaloper16l94qycfsepcyxsg5ygt3krwrzeepzj380qy8y,300460200123
odin1ulypa58q32caz0da9vx6y2rv408jnaxq6lrasy,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,300000000000
odin1ulypa58q32caz0da9vx6y2rv408jnaxq6lrasy,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,266412738062
odin1ulypa58q32caz0da9vx6y2rv408jnaxq6lrasy,odinvaloper1svt6pg0p9qnsd2vjx062yt2843nnvtxcsu4kzj,250375566204
odin1ulypa58q32caz0da9vx6y2rv408jnaxq6lrasy,odinvaloper18xzaak0mxtzy9dsral8yucpfdak7mhc3ywjapu,200300419225
odin1ulypa58q32caz0da9vx6y2rv408jnaxq6lrasy,odinvaloper1s009mue6fg6usnd8dfyvtvcckndtxsxjd5shs7,50079281221
odin1vrv7hp6tqnqhm564s2985vx7eqqqnuqsqllyqf,odinvaloper1pjcyssl7ewhtlp4dqn596hu3gr7xs9su2z67tp,2552000000
odin1vrv7hp6tqnqhm564s2985vx7eqqqnuqsqllyqf,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,4408
odin17md6vnlpulq2vt8u5rccadx9wxx0al7qpmfur0,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,23676627941
odin17md6vnlpulq2vt8u5rccadx9wxx0al7qpmfur0,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,2612304171
odin17md6vnlpulq2vt8u5rccadx9wxx0al7qpmfur0,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,2608785734
odin17md6vnlpulq2vt8u5rccadx9wxx0al7qpmfur0,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,2608451622
odin144p9x8gtffm0dc7pntugqees7g2whejqlrgz6y,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,24000000000
odin144p9x8gtffm0dc7pntugqees7g2whejqlrgz6y,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,22000000000
odin17rft8zvfw5upccgssqe0jv96kzf3hn9uqf20r3,odinvaloper1ku6dsk0rh8l0me8j0lkks3sefsr90hd2z8g06e,1186468997
odin17rft8zvfw5upccgssqe0jv96kzf3hn9uqf20r3,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,699573786
odin19ntsdxgf28m6gre0rxudzl4fygmk865l8qajce,odinvaloper18xzaak0mxtzy9dsral8yucpfdak7mhc3ywjapu,1000000000
odin19ntsdxgf28m6gre0rxudzl4fygmk865l8qajce,odinvaloper1svt6pg0p9qnsd2vjx062yt2843nnvtxcsu4kzj,100000000
odin1ddmmtady24ncs5z8k5tuqyvpcfvxjc6uncy4z8,odinvaloper1wuwhanclwh9ckpe6z6480t3pjjpk7dsj2trk9p,570000000
odin1ddmmtady24ncs5z8k5tuqyvpcfvxjc6uncy4z8,odinvaloper12hpn6mxulk8gt9zu0hs5lv20y666gmuszjfy3h,158000000
odin1ddmmtady24ncs5z8k5tuqyvpcfvxjc6uncy4z8,odinvaloper1usa0ldz9lhfd7zf5h93qtzn0st9uqtd949x9ww,136000000
odin1ddmmtady24ncs5z8k5tuqyvpcfvxjc6uncy4z8,odinvaloper1z2mdr2unlrnqnwzu03ujym078pp8g4wy9k6hqd,35000000
odin1ddmmtady24ncs5z8k5tuqyvpcfvxjc6uncy4z8,odinvaloper1wm93qtv8gtr2x83cm2hddk02k8z2vkwc4j4x8s,9999
odin1ddmmtady24ncs5z8k5tuqyvpcfvxjc6uncy4z8,odinvaloper1weryas9wx2saawjuefxtkxt0ayv9956ytmls6h,20
odin1j0kknh8l7lfkg4srpmlw8h4k5l7pz8t3mgqq0d,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,1219746903
odin1j0kknh8l7lfkg4srpmlw8h4k5l7pz8t3mgqq0d,odinvaloper1pcwlans8a2xtfddx04n6vhal5wx8jsvmxean8n,0
odin1lyrttjay5m02ssxh9j2d3xd6llzzqlj7rnukxw,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,141989800
odin1lyrttjay5m02ssxh9j2d3xd6llzzqlj7rnukxw,odinvaloper1ku6dsk0rh8l0me8j0lkks3sefsr90hd2z8g06e,100500000
odin1lyrttjay5m02ssxh9j2d3xd6llzzqlj7rnukxw,odinvaloper19mhtrvu5tzfr0mdyjnejggltjah803yzgltu88,100000015
odin1lyrttjay5m02ssxh9j2d3xd6llzzqlj7rnukxw,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,100000000
odin1lyrttjay5m02ssxh9j2d3xd6llzzqlj7rnukxw,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,100000000
odin1lyrttjay5m02ssxh9j2d3xd6llzzqlj7rnukxw,odinvaloper16l94qycfsepcyxsg5ygt3krwrzeepzj380qy8y,100000000
odin1lyrttjay5m02ssxh9j2d3xd6llzzqlj7rnukxw,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,99999799
odin1lyrttjay5m02ssxh9j2d3xd6llzzqlj7rnukxw,odinvaloper1hz4ec0y6unshsfdwk2qj3dm3htky8yez486u25,57400000
odin1lyrttjay5m02ssxh9j2d3xd6llzzqlj7rnukxw,odinvaloper1pcwlans8a2xtfddx04n6vhal5wx8jsvmxean8n,0
odin1c8392pf8ts264svqhf4vg5cf8s989eya2av6sw,odinvaloper18xzaak0mxtzy9dsral8yucpfdak7mhc3ywjapu,20000198521
odin1c8392pf8ts264svqhf4vg5cf8s989eya2av6sw,odinvaloper13vlywycxkfwgjkj9pprnmh5nhc45t0ggm4gw55,20000000825
odin1c8392pf8ts264svqhf4vg5cf8s989eya2av6sw,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,20000000000
odin1c8392pf8ts264svqhf4vg5cf8s989eya2av6sw,odinvaloper1phaq5u2xw5489ntchtdd8y4j6a65gfhechmgde,2500000000
odin1c8392pf8ts264svqhf4vg5cf8s989eya2av6sw,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,2410002054
odin1c8392pf8ts264svqhf4vg5cf8s989eya2av6sw,odinvaloper1pcwlans8a2xtfddx04n6vhal5wx8jsvmxean8n,10
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,85000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1wuwhanclwh9ckpe6z6480t3pjjpk7dsj2trk9p,30000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,30000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1s009mue6fg6usnd8dfyvtvcckndtxsxjd5shs7,20000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,20000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,14998500
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1ku6dsk0rh8l0me8j0lkks3sefsr90hd2z8g06e,14000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,10000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1usa0ldz9lhfd7zf5h93qtzn0st9uqtd949x9ww,10000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1hl0lduu35a9f6awf3nr4uqk7u4z6yhj6s9g4pm,10000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1hz4ec0y6unshsfdwk2qj3dm3htky8yez486u25,8000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper16l94qycfsepcyxsg5ygt3krwrzeepzj380qy8y,5000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57z9yperl,5000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1k4uuv8aanj3ejs0qhqmsax9d6lzmp0plz4zxu7,5000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1k9xkg2nfm0h85ew9lc8ut7sc5lcvyspkfdlatg,3000000
odin1xjapfntlvpz2uf738lud7yvxcutkvk24de0clg,odinvaloper1mzfn23hpd7nuwxgy433f7qvra89utv3hrwvvmn,1000000
odin13qg8wcye68jy2pzxlft33kp6q5u846c2m5s36s,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,4000000
odin13qg8wcye68jy2pzxlft33kp6q5u846c2m5s36s,odinvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57z9yperl,4000000
odin13qg8wcye68jy2pzxlft33kp6q5u846c2m5s36s,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,3500000
odin13qg8wcye68jy2pzxlft33kp6q5u846c2m5s36s,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,40000
odin1agryme9z3jg89dapcl0jdkk6dfhzkkm4mu4tm5,odinvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57z9yperl,3000000000
odin1agryme9z3jg89dapcl0jdkk6dfhzkkm4mu4tm5,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,2090000000
odin1agryme9z3jg89dapcl0jdkk6dfhzkkm4mu4tm5,odinvaloper1wuwhanclwh9ckpe6z6480t3pjjpk7dsj2trk9p,1000000000
odin1w5jpqh5vs308qld7tmfjcjue7u9pxju0lhqg34,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,35427000000
odin1w5jpqh5vs308qld7tmfjcjue7u9pxju0lhqg34,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,47000000
odin10kr6h8pzrqw34xvrsrg05598837a09kdhzqfz8,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,31168230921
odin10kr6h8pzrqw34xvrsrg05598837a09kdhzqfz8,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,30795347109
odin10kr6h8pzrqw34xvrsrg05598837a09kdhzqfz8,odinvaloper16l94qycfsepcyxsg5ygt3krwrzeepzj380qy8y,10254197633
odin10kr6h8pzrqw34xvrsrg05598837a09kdhzqfz8,odinvaloper1k4uuv8aanj3ejs0qhqmsax9d6lzmp0plz4zxu7,10251474845
odin10kr6h8pzrqw34xvrsrg05598837a09kdhzqfz8,odinvaloper12hpn6mxulk8gt9zu0hs5lv20y666gmuszjfy3h,9823082073
odin14ezjnakw27z6aysza4sz8p6t92zp3axpugq9qt,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,16466004347
odin14ezjnakw27z6aysza4sz8p6t92zp3axpugq9qt,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,16466000000
odin14ezjnakw27z6aysza4sz8p6t92zp3axpugq9qt,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,16466000000
odin1c7ur4tzr4haaqm6ekql0hf4dwwhlvapzkfz248,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,120000000
odin1c7ur4tzr4haaqm6ekql0hf4dwwhlvapzkfz248,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,114800000
odin1c7ur4tzr4haaqm6ekql0hf4dwwhlvapzkfz248,odinvaloper18xzaak0mxtzy9dsral8yucpfdak7mhc3ywjapu,100000000
odin1c7ur4tzr4haaqm6ekql0hf4dwwhlvapzkfz248,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,100000000
odin1c7ur4tzr4haaqm6ekql0hf4dwwhlvapzkfz248,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,100000000
odin1c7ur4tzr4haaqm6ekql0hf4dwwhlvapzkfz248,odinvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57z9yperl,25000000
odin13gccl8hlxpkwsp2gc57q3kr9jhr8hz6dcqm0qn,odinvaloper1wuwhanclwh9ckpe6z6480t3pjjpk7dsj2trk9p,1922902099
odin13gccl8hlxpkwsp2gc57q3kr9jhr8hz6dcqm0qn,odinvaloper1pcwlans8a2xtfddx04n6vhal5wx8jsvmxean8n,0
odin1t974lhwp2cfe9wzqsv97wsxvgee4fkrg7hr999,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,7223674450
odin1t974lhwp2cfe9wzqsv97wsxvgee4fkrg7hr999,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,3546105473
odin1t974lhwp2cfe9wzqsv97wsxvgee4fkrg7hr999,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,16286
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper1sxvwx7h6wp4hcn3rh2xtl8mv6w0w9mvudd6e3j,207306576
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper1gr249nhe8y8mdls0z82nfkh2a7xwm7xy7f4m03,111925333
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper1jj2xx0en2wcs8vj3n4s6lkf8gjqqwtkh8996st,105898351
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57z9yperl,104932600
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper1usa0ldz9lhfd7zf5h93qtzn0st9uqtd949x9ww,104874691
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,103437544
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,102386393
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper1z2mdr2unlrnqnwzu03ujym078pp8g4wy9k6hqd,101289019
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,100937921
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,20591733
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper1lrdn3s6guqgzfc96kesfk3fg3cufn5jsjg9lxd,15045146
odin1qly96sy3yklkwv6cf4he5ves4qu8yn587g4r7u,odinvaloper18xzaak0mxtzy9dsral8yucpfdak7mhc3ywjapu,1053950
odin1tavf9pe3fl94hpl37u08mwt6p5l3fn4wduxrdt,odinvaloper1wuwhanclwh9ckpe6z6480t3pjjpk7dsj2trk9p,700000000
odin1tavf9pe3fl94hpl37u08mwt6p5l3fn4wduxrdt,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,540000000
odin1tavf9pe3fl94hpl37u08mwt6p5l3fn4wduxrdt,odinvaloper1pcwlans8a2xtfddx04n6vhal5wx8jsvmxean8n,500082990
odin1tavf9pe3fl94hpl37u08mwt6p5l3fn4wduxrdt,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,200000000
odin1qwc70zrau90c5tj8pp0zzreklgvfem8vtshn9f,odinvaloper1pcwlans8a2xtfddx04n6vhal5wx8jsvmxean8n,299730108
odin1qwc70zrau90c5tj8pp0zzreklgvfem8vtshn9f,odinvaloper1wuwhanclwh9ckpe6z6480t3pjjpk7dsj2trk9p,40000000
odin1r532h9h54eaylxg49ll6vlr8epcl687s2x9ln7,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,149999900000
odin1r532h9h54eaylxg49ll6vlr8epcl687s2x9ln7,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,100000000000
odin1weryas9wx2saawjuefxtkxt0ayv9956yxxtwnr,odinvaloper12hpn6mxulk8gt9zu0hs5lv20y666gmuszjfy3h,5163990653
odin1weryas9wx2saawjuefxtkxt0ayv9956yxxtwnr,odinvaloper1k4uuv8aanj3ejs0qhqmsax9d6lzmp0plz4zxu7,4140077500
odin1weryas9wx2saawjuefxtkxt0ayv9956yxxtwnr,odinvaloper1ypmlekjd2mhjlh0263wtqjmskz77sclsxchm53,1225689279
odin1weryas9wx2saawjuefxtkxt0ayv9956yxxtwnr,odinvaloper1weryas9wx2saawjuefxtkxt0ayv9956ytmls6h,15395173
odin1je6knmp0qk92qngkqqvwtjrln9tz8y3e4knt7l,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,1279870206
odin1je6knmp0qk92qngkqqvwtjrln9tz8y3e4knt7l,odinvaloper16l94qycfsepcyxsg5ygt3krwrzeepzj380qy8y,1279672490
odin14hpyds7vlezfpnjedzszksh3c70j3ld3fl9tvv,odinvaloper1gr249nhe8y8mdls0z82nfkh2a7xwm7xy7f4m03,156784320
odin14hpyds7vlezfpnjedzszksh3c70j3ld3fl9tvv,odinvaloper1z2mdr2unlrnqnwzu03ujym078pp8g4wy9k6hqd,152200000
odin14hpyds7vlezfpnjedzszksh3c70j3ld3fl9tvv,odinvaloper1phaq5u2xw5489ntchtdd8y4j6a65gfhechmgde,29694060
odin14hpyds7vlezfpnjedzszksh3c70j3ld3fl9tvv,odinvaloper1hl0lduu35a9f6awf3nr4uqk7u4z6yhj6s9g4pm,5950000
odin1ghpqjgvnk4m2kuzek3e5zf96q2khmre4ljn03g,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,27262000000
odin1ghpqjgvnk4m2kuzek3e5zf96q2khmre4ljn03g,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,10000000000
odin1ghpqjgvnk4m2kuzek3e5zf96q2khmre4ljn03g,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,10000000000
odin1p4m9q7zam2gtttfkphf8z6pplnjxg7ulcg8jx7,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,1903780000
odin1p4m9q7zam2gtttfkphf8z6pplnjxg7ulcg8jx7,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,283000000
odin1p4m9q7zam2gtttfkphf8z6pplnjxg7ulcg8jx7,odinvaloper16l94qycfsepcyxsg5ygt3krwrzeepzj380qy8y,130000000
odin1eyy8hsdzyh8aun5mdxcepnnywlagd50vzjkzvr,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,330066990
odin1eyy8hsdzyh8aun5mdxcepnnywlagd50vzjkzvr,odinvaloper1hz4ec0y6unshsfdwk2qj3dm3htky8yez486u25,250000000
odin1eyy8hsdzyh8aun5mdxcepnnywlagd50vzjkzvr,odinvaloper16l94qycfsepcyxsg5ygt3krwrzeepzj380qy8y,103600000
odin1eyy8hsdzyh8aun5mdxcepnnywlagd50vzjkzvr,odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,100000000
odin1a20c4f5280pwza4649e88hjrq6qlaptx8e78ym,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,33000000
odin1a20c4f5280pwza4649e88hjrq6qlaptx8e78ym,odinvaloper1wm93qtv8gtr2x83cm2hddk02k8z2vkwc4j4x8s,32999999
