moniker,validator address,self delegation,total delegation,voting power
Imperator.co,odinvaloper1tkv6yfg7ukeea58tf3fyhtmdm2hely8d8hnn2m,10000000,5422750239487,5422750
hilda,odinvaloper1pjcyssl7ewhtlp4dqn596hu3gr7xs9su2z67tp,1000000,4442374956821,4442374
✅ CryptoCrew Validators #IBCgang,odinvaloper103yy6yxn7u3tfs25fr4xt4hyfq9h44ydw98n3z,7489000000,4046093310092,4046093
Lavender.Five Nodes,odinvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57z9yperl,3379002308,3663670229153,3663670
Active Nodes,odinvaloper12j5xj3dz6vzj4tympst9kmrxpahew0ppu6jhgw,5000000,3614182031561,3614182
Vanaheim,odinvaloper16l94qycfsepcyxsg5ygt3krwrzeepzj380qy8y,263419117780,3168464721810,3168464
odin-validator3,odinvaloper12hpn6mxulk8gt9zu0hs5lv20y666gmuszjfy3h,4229924324,2940809836566,2940809
" AutoStake 🛡️ Slash Protected",odinvaloper1ns80t8zh50uelxrjw2ua6lchdym3j6xrgrwxg7,10000000,2899319509779,2899319
xVal49,odinvaloper1xgp94zvrqqk0mhd0eh4hqk27y4kjvq4jdwqcnz,1010000,2879660509943,2879660
odin-validator4,odinvaloper1k4uuv8aanj3ejs0qhqmsax9d6lzmp0plz4zxu7,12194249276,2860902619647,2860902
odin-validator1,odinvaloper1weryas9wx2saawjuefxtkxt0ayv9956ytmls6h,15395173,2800958716581,2800958
odin-validator2,odinvaloper1ypmlekjd2mhjlh0263wtqjmskz77sclsxchm53,1188106195,2778449452785,2778449
B-Harvest,odinvaloper1svt6pg0p9qnsd2vjx062yt2843nnvtxcsu4kzj,53306813756,2659163379960,2659163
thor,odinvaloper1s009mue6fg6usnd8dfyvtvcckndtxsxjd5shs7,121141542072,2612845928007,2612845
coldy,odinvaloper18xzaak0mxtzy9dsral8yucpfdak7mhc3ywjapu,1672000000,2485157649401,2485157
iprouteth0 | Badger Bite,odinvaloper10u2g5yhvtm0d76f860kggp6lakge4q8hj59tn5,17069878492,2451246135557,2451246
Citadel.one,odinvaloper1prdr5g0mad8430ru4y0gpttyhhd4pm6yqz686s,80000000,1819800979209,1819800
POSTHUMAN∞DVS,odinvaloper1wuwhanclwh9ckpe6z6480t3pjjpk7dsj2trk9p,7298085852,1533972964864,1533972
odin_geo_validator,odinvaloper1ku6dsk0rh8l0me8j0lkks3sefsr90hd2z8g06e,10000000,1090485236447,1090485
Enigma,odinvaloper1usa0ldz9lhfd7zf5h93qtzn0st9uqtd949x9ww,172089434,959109075406,959109
MELLIFERA,odinvaloper1pfs42htt5w4d65rjt9cs283c2sre4tf3t4sfl7,3419872436,905363277594,905363
Munin,odinvaloper10p5ry5ws70jfn62fjw3pa6nfxrut5p2ct3akjw,30965700000,811037500000,811037
Fenrir,odinvaloper1hz4ec0y6unshsfdwk2qj3dm3htky8yez486u25,12843560000,703832565871,703832
NQ4.NET,odinvaloper14da0ag6pcf7hlgh54unm8udcm8flctna3djra7,21265187990,701814959103,701814
CyborgC | Badger Bite,odinvaloper19mhtrvu5tzfr0mdyjnejggltjah803yzgltu88,1000000,608268752849,608268
PandaTeam,odinvaloper16669s8yp90uvnpn2377rzxp5f2wgdm3frk2tmp,4227000000,435177013076,435177
Atlas Staking,odinvaloper1phaq5u2xw5489ntchtdd8y4j6a65gfhechmgde,969806009,405194521613,405194
0% Binnostake🚀,odinvaloper13vlywycxkfwgjkj9pprnmh5nhc45t0ggm4gw55,97951014,340102213341,340102
Munay Network,odinvaloper1dtjflhhejdnw6frxqqwczpttt8jr3p7qf0el0v,9999000,321303222316,321303
MKV.one,odinvaloper1fupf80rhes3vu25vgjsk6sp8t68urpldecak8y,4139000000,304673900000,304673
RHINO,odinvaloper1jj2xx0en2wcs8vj3n4s6lkf8gjqqwtkh8996st,2131995781,270092268983,270092
Chill Validation,odinvaloper1gr249nhe8y8mdls0z82nfkh2a7xwm7xy7f4m03,3669290547,267250639803,267250
entropic.nodes,odinvaloper1hl0lduu35a9f6awf3nr4uqk7u4z6yhj6s9g4pm,1821690583,253949640583,253949
☉ Mercury,odinvaloper1k9xkg2nfm0h85ew9lc8ut7sc5lcvyspkfdlatg,4328507988,204732507988,204732
!Crypteloid,odinvaloper1pcwlans8a2xtfddx04n6vhal5wx8jsvmxean8n,8492353,196613051114,196613
ladysnowboarder | badger bite,odinvaloper1evv5y2ake002n9l27t5qhqcwhgwd6up2mpuyj0,6066597349,188651498568,188651
SpacePotato,odinvaloper1z2mdr2unlrnqnwzu03ujym078pp8g4wy9k6hqd,2441552470,174945143663,174945
BlueStake 🚀 | 100% insurance,odinvaloper1agc625vf57femlvg7aupvuje8v73swlmv6watw,675000000,156171511298,156171
Valid8,odinvaloper1wm93qtv8gtr2x83cm2hddk02k8z2vkwc4j4x8s,1237530420,145333008774,145333
Spark IBC x @Airdrops_one,odinvaloper1x7s0jhpx8zjtcj93wsnt879muwh0hqeszp278y,1052487000,101387317000,101387
Validatrium,odinvaloper1lrdn3s6guqgzfc96kesfk3fg3cufn5jsjg9lxd,741884750,51366936730,51366
Stakers,odinvaloper1mzfn23hpd7nuwxgy433f7qvra89utv3hrwvvmn,766500000,5937505000,5937
Tedcrypto,odinvaloper1sxvwx7h6wp4hcn3rh2xtl8mv6w0w9mvudd6e3j,1000000,2926799221,2926
DiBug,odinvaloper1wvr8qn05m4jl8xvg4uyvun0dkydt7evshhfcht,2406491799,2406491800,2406
comrade,odinvaloper1lrgq04n9vu0qqql59t5l2wa7xfylg57d4kgwk6,2388628106,2388628107,2388
QuantaTech,odinvaloper1xlc3yn9j9fc8wpnkdn70y2ps04nqn8ln0g60q8,1887500,467152784,467
